"name","price","engine","cyl","hp","city_mpg","hwy_mpg","weight","wheel","length","width"
"Toyota Echo 2dr manual",10760,1.5,4,108,35,43,2035,93,163,65
"Toyota Echo 4dr",11290,1.5,4,108,35,43,2055,93,163,65
"Toyota Highlander V6",27930,3.3,6,230,18,24,3935,107,185,72
"Toyota Land Cruiser",54765,4.7,8,325,13,17,5390,112,193,76
"Toyota Matrix XR",16695,1.8,4,130,29,36,2679,102,171,70
"Toyota MR2 Spyder convertible 2dr",25130,1.8,4,138,26,32,2195,97,153,67
"Toyota Prius 4dr (gas/electric)",20510,1.5,4,110,59,51,2890,106,175,68
"Toyota RAV4",20290,2.4,4,161,22,27,3119,98,167,68
"Toyota Sequoia SR5",35695,4.7,8,240,14,17,5270,118,204,78
"Toyota Sienna CE",23495,3.3,6,230,19,27,4120,119,200,77
"Toyota Sienna XLE Limited",28800,3.3,6,230,19,27,4165,119,200,77
"Volkswagen Golf GLS 4dr",18715,2,4,115,24,31,2897,99,165,68
"Volkswagen GTI 1.8T 2dr hatch",19825,1.8,4,180,24,31,2934,99,168,68
"Volkswagen Jetta GL",19005,2,4,115,24,30,3034,99,174,68
"Volkswagen Jetta GLI VR6 4dr",23785,2.8,6,200,21,30,3179,99,172,68
"Volkswagen Jetta GLS TDI 4dr",21055,1.9,4,100,38,46,3003,99,172,68
"Volkswagen New Beetle GLS 1.8T 2dr",21055,1.8,4,150,24,31,2820,99,161,68
"Volkswagen New Beetle GLS convertible 2dr",23215,2,4,115,24,30,3082,99,161,68
"Volkswagen Passat GLS 1.8T",24955,1.8,4,170,22,31,3338,106,184,69
"Volkswagen Passat GLS 4dr",23955,1.8,4,170,22,31,3241,106,185,69
"Volkswagen Passat GLX V6 4MOTION 4dr",33180,2.8,6,190,19,26,3721,106,185,69
"Volkswagen Passat W8",40235,4,8,270,18,25,4067,106,184,69
"Volkswagen Passat W8 4MOTION 4dr",39235,4,8,270,18,25,3953,106,185,69
"Volkswagen Touareg V6",35515,3.2,6,220,15,20,5086,112,187,76
"Volvo C70 HPT convertible 2dr",42565,2.3,5,242,20,26,3450,105,186,72
"Volvo C70 LPT convertible 2dr",40565,2.4,5,197,21,28,3450,105,186,72
"Volvo S40 4dr",25135,1.9,4,170,22,29,2767,101,178,68
"Volvo S60 2.5 4dr",31745,2.5,5,208,20,27,3903,107,180,71
"Volvo S60 R 4dr",37560,2.5,5,300,18,25,3571,107,181,71
"Volvo S60 T5 4dr",34845,2.3,5,247,20,28,3766,107,180,71
"Volvo S80 2.5T 4dr",37885,2.5,5,194,20,27,3691,110,190,72
"Volvo S80 2.9 4dr",37730,2.9,6,208,20,28,3576,110,190,72
"Volvo S80 T6 4dr",45210,2.9,6,268,19,26,3653,110,190,72
"Volvo V40",26135,1.9,4,170,22,29,2822,101,180,68
"Volvo XC70",35145,2.5,5,208,20,27,3823,109,186,73
"Volvo XC90 T6",41250,2.9,6,268,15,20,4638,113,189,75
