"","income","age","capital_gain","capital_loss","hours_per_week","workclass","education","marital.status","occupation","relationship","race","sex","native.country"
"6089","0",45,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6090","0",35,"None","None",38," Self-Employed"," HS-Graduate","Never-Married"," Sales"," Unmarried","Black"," Female","Western-Developed"
"6091","0",32,"None","None",45," Private"," Dropout","Married"," Administration"," Husband","White"," Male","United-States"
"6092","0",23,"None","None",50," Private"," HS-Graduate","Married"," Service"," Husband","Black"," Male","United-States"
"6093","0",19,"None","None",15," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6095","0",20,"None","None",35," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","Black"," Male","United-States"
"6096","0",44,"None","None",30," Self-Employed"," Bachelors","Married"," Sales"," Husband","White"," Male","United-States"
"6097","0",41,"Low","None",40," Other-gov"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"6098","0",19,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Other-relative","White"," Female","United-States"
"6099","0",48,"None","None",35," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Female","United-States"
"6100","0",40,"None","None",42," Private"," Dropout","Married"," Service"," Husband","Asian"," Male","Asia-Frontier"
"6101","0",20,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Other-relative","Other"," Female","United-States"
"6102","0",33,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"6103","0",30,"None","None",20," Private"," HS-Graduate","Married"," Administration"," Own-child","White"," Female","United-States"
"6104","0",23,"None","None",32," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","South-America-Frontier"
"6105","0",34,"None","None",38," Private"," Dropout","Not-Married"," Service"," Unmarried","White"," Female","United-States"
"6107","0",22,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","Asian"," Male","United-States"
"6108","0",45,"None","None",55," Private"," Bachelors","Not-Married"," Management"," Not-in-family","White"," Female","United-States"
"6109","0",47,"None","None",32," Private"," HS-Graduate","Not-Married"," Service"," Own-child","White"," Female","United-States"
"6110","0",34,"None","None",38," Private"," Bachelors","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6111","0",39,"None","None",40," Federal-gov"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"6112","0",29,"None","None",24," Private"," HS-Graduate","Not-Married"," High-Service"," Unmarried","White"," Female","United-States"
"6113","0",42,"None","None",60," Self-Employed"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6114","0",48,"None","None",35," Private"," Dropout","Not-Married"," Service"," Not-in-family","Black"," Female","United-States"
"6115","0",51,"None","None",45," Private"," HS-Graduate","Widowed"," Administration"," Unmarried","White"," Female","United-States"
"6116","0",44,"None","None",90," Self-Employed"," Bachelors","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6117","0",32,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Female","United-States"
"6119","0",24,"None","None",45," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"6120","0",33,"None","None",26," Private"," Associates","Never-Married"," High-Service"," Unmarried","Black"," Female","United-States"
"6121","0",47,"None","None",90," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6122","0",64,"None","None",50," Self-Employed"," Masters","Not-Married"," High-Service"," Not-in-family","White"," Male","United-States"
"6123","0",39,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Female","Western-Frontier"
"6124","0",42,"None","None",48," Private"," HS-Graduate","Married"," High-Service"," Husband","White"," Male","United-States"
"6125","0",55,"None","None",50," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6127","0",42,"None","None",24," Private"," Associates","Not-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6128","0",32,"None","None",40," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6130","0",50,"Low","None",40," Federal-gov"," Dropout","Never-Married"," Sales"," Not-in-family","Black"," Female","United-States"
"6131","0",27,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","Asian"," Male","Asia-Emerging"
"6132","0",47,"None","None",60," Private"," HS-Graduate","Married"," Management"," Husband","White"," Male","United-States"
"6133","0",33,"None","None",35," Private"," Dropout","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6134","0",48,"None","None",40," Self-Employed"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"6135","0",23,"None","None",35," Private"," Dropout","Never-Married"," Service"," Own-child","White"," Male","United-States"
"6136","0",26,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"6137","0",61,"None","None",63," Self-Employed"," HS-Graduate","Married"," Sales"," Husband","Asian"," Male","Western-Frontier"
"6138","0",50,"None","None",40," Private"," Bachelors","Not-Married"," Sales"," Unmarried","Black"," Male","United-States"
"6139","0",19,"None","None",24," Private"," HS-Graduate","Never-Married"," Service"," Other-relative","Asian"," Male","United-States"
"6140","0",18,"None","None",15," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6141","0",44,"None","None",99," Self-Employed"," Associates","Married"," Service"," Wife","White"," Female","United-States"
"6142","0",54,"None","None",50," Private"," Associates","Married"," Sales"," Husband","White"," Male","United-States"
"6143","0",27,"None","None",20," Other-gov"," Masters","Never-Married"," High-Service"," Not-in-family","Asian"," Male","Asia-Emerging"
"6144","0",50,"None","None",50," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6145","0",43,"None","None",40," Other-gov"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6146","0",28,"None","None",40," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Male","United-States"
"6147","0",47,"None","None",40," Private"," HS-Graduate","Married"," Management"," Husband","White"," Male","United-States"
"6148","0",21,"None","None",50," Private"," Dropout","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","South-America-Emerging"
"6149","0",30,"None","None",45," Private"," Prof-School","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6150","0",19,"None","None",45," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6151","0",40,"None","Low",40," Private"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"6153","0",31,"None","None",43," Private"," Associates","Not-Married"," Blue-Collar"," Unmarried","White"," Male","United-States"
"6154","0",30,"None","None",40," Private"," Associates","Not-Married"," Management"," Not-in-family","White"," Male","United-States"
"6156","0",51,"None","None",43," Federal-gov"," Bachelors","Never-Married"," High-Service"," Not-in-family","Amer-Indian"," Female","United-States"
"6157","0",34,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Own-child","White"," Female","United-States"
"6158","0",50,"None","None",38," Private"," HS-Graduate","Not-Married"," Management"," Unmarried","White"," Female","United-States"
"6159","0",29,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Unmarried","White"," Male","United-States"
"6160","0",17,"None","None",40," Other-gov"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6161","0",24,"None","None",30," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6164","0",32,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Unmarried","Black"," Male","South-America-Frontier"
"6166","0",34,"None","None",45," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Female","United-States"
"6167","0",37,"None","None",40," Other-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"6168","0",23,"None","None",28," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Female","United-States"
"6169","0",45,"None","None",42," Federal-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Male","United-States"
"6170","0",30,"None","None",40," Private"," Dropout","Not-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6171","0",20,"None","None",10," Private"," Dropout","Not-Married"," Service"," Not-in-family","White"," Female","United-States"
"6172","0",41,"None","None",4," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","South-America-Emerging"
"6173","0",21,"None","None",30," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"6174","0",48,"None","None",30," Private"," Dropout","Married"," Service"," Husband","Asian"," Male","Asia-Emerging"
"6175","0",34,"None","None",40," Private"," Associates","Never-Married"," Blue-Collar"," Not-in-family","Black"," Male","United-States"
"6176","0",25,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","Black"," Male","United-States"
"6177","0",41,"None","None",35," Self-Employed"," Bachelors","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6178","0",42,"None","None",40," Private"," Bachelors","Not-Married"," Management"," Unmarried","White"," Female","United-States"
"6179","0",44,"Low","None",60," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6180","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","Asian"," Male","United-States"
"6181","0",23,"None","None",50," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6182","0",27,"None","None",52," Private"," Doctorate","Never-Married"," High-Service"," Not-in-family","White"," Male","United-States"
"6183","0",27,"None","None",65," Private"," Bachelors","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6184","0",57,"None","None",45," Private"," HS-Graduate","Never-Married"," Management"," Not-in-family","White"," Female","United-States"
"6185","0",17,"None","None",20," Private"," Dropout","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"6186","0",59,"None","None",38," Other-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"6187","0",34,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6188","0",30,"None","None",55," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6189","0",31,"None","None",45," Other-gov"," Associates","Never-Married"," Administration"," Own-child","Black"," Female","United-States"
"6191","0",23,"None","None",30," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6192","0",19,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6193","0",20,"None","None",40," Self-Employed"," Associates","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6194","0",52,"None","None",40," Self-Employed"," HS-Graduate","Not-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6195","0",27,"None","None",50," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","White"," Female","United-States"
"6196","0",19,"None","None",35," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Female","United-States"
"6197","0",38,"None","None",15," Other-gov"," Bachelors","Married"," High-Service"," Wife","White"," Female","United-States"
"6198","0",19,"None","None",16," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6200","0",23,"Low","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Own-child","White"," Female","United-States"
"6202","0",24,"None","None",40," Private"," Bachelors","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6203","0",22,"None","None",84," Private"," Dropout","Never-Married"," Blue-Collar"," Not-in-family","Amer-Indian"," Male","United-States"
"6204","0",42,"None","None",60," Private"," Bachelors","Married"," Sales"," Husband","White"," Male","United-States"
"6205","0",35,"None","None",50," Self-Employed"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"6206","0",32,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","Amer-Indian"," Female","United-States"
"6207","0",51,"None","None",32," Other-gov"," HS-Graduate","Married"," Management"," Wife","White"," Female","United-States"
"6208","0",31,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6209","0",27,"None","None",50," Other-gov"," Bachelors","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"6210","0",57,"None","None",35," Private"," Associates","Widowed"," Administration"," Not-in-family","White"," Female","United-States"
"6211","0",40,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"6212","0",31,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6213","0",23,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6214","0",42,"None","None",35," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","Western-Developed"
"6215","0",60,"None","None",40," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"6217","0",27,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6218","0",31,"None","None",45," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6219","0",29,"None","None",40," Other-gov"," Bachelors","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6220","0",22,"None","None",40," Private"," Bachelors","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6221","0",28,"None","None",40," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"6222","0",79,"None","None",20," Private"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"6223","0",29,"None","None",40," Private"," Dropout","Never-Married"," Service"," Not-in-family","Other"," Male","United-States"
"6224","0",60,"None","None",40," Private"," Dropout","Not-Married"," Service"," Not-in-family","White"," Male","United-States"
"6225","0",58,"None","None",24," Private"," Dropout","Married"," Service"," Wife","White"," Female","United-States"
"6226","0",20,"None","High",18," Private"," Associates","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6227","0",47,"None","None",48," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6228","0",37,"None","None",65," Private"," Masters","Not-Married"," Management"," Not-in-family","White"," Male","United-States"
"6229","0",21,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Other-relative","White"," Male","United-States"
"6230","0",68,"None","None",40," Private"," Associates","Widowed"," Management"," Not-in-family","White"," Female","United-States"
"6231","0",43,"Low","None",40," Private"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"6233","0",23,"None","None",33," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","White"," Female","United-States"
"6234","0",40,"None","Low",35," Other-gov"," Masters","Never-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6235","0",45,"None","None",35," Self-Employed"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"6236","0",22,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Male","United-States"
"6237","0",24,"None","None",49," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6238","0",23,"None","None",40," Private"," HS-Graduate","Married"," Sales"," Wife","White"," Female","United-States"
"6239","0",26,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6240","0",24,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","White"," Male","United-States"
"6241","0",22,"None","None",25," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Male","United-States"
"6242","0",36,"None","None",55," Private"," Bachelors","Married"," High-Service"," Husband","White"," Male","United-States"
"6243","0",20,"None","None",20," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6244","0",18,"None","None",8," Private"," Dropout","Never-Married"," Service"," Own-child","Black"," Male","United-States"
"6245","0",43,"None","None",35," Self-Employed"," Bachelors","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6247","0",31,"None","None",45," Private"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6248","0",73,"None","Low",20," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6249","0",32,"None","None",42," Private"," HS-Graduate","Not-Married"," Management"," Unmarried","White"," Female","United-States"
"6250","0",66,"None","None",10," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6251","0",22,"None","None",35," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6252","0",51,"None","None",40," Private"," Associates","Married"," Sales"," Husband","White"," Male","United-States"
"6253","0",31,"None","None",35," Private"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Male","United-States"
"6254","0",65,"None","High",59," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","Western-Developed"
"6255","0",39,"None","None",45," Private"," HS-Graduate","Married"," Blue-Collar"," Wife","Black"," Female","United-States"
"6256","0",48,"None","None",37," Private"," HS-Graduate","Married"," Administration"," Wife","White"," Female","United-States"
"6257","0",20,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Not-in-family","White"," Female","United-States"
"6259","0",29,"None","None",80," Federal-gov"," Prof-School","Married"," High-Service"," Husband","White"," Male","United-States"
"6260","0",48,"None","None",40," Other-gov"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"6261","0",36,"None","None",45," Private"," Associates","Never-Married"," Service"," Not-in-family","White"," Male","United-States"
"6262","0",40,"None","None",50," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6263","0",57,"None","None",15," Private"," HS-Graduate","Married"," High-Service"," Husband","White"," Male","United-States"
"6264","0",26,"Low","None",35," Other-gov"," Bachelors","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6265","0",37,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Service"," Own-child","White"," Female","United-States"
"6266","0",26,"None","None",32," Self-Employed"," Dropout","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6267","0",42,"None","None",40," Private"," HS-Graduate","Married"," Service"," Husband","White"," Male","United-States"
"6268","0",62,"None","None",40," Private"," Dropout","Not-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6269","0",27,"None","None",50," Private"," Associates","Never-Married"," Management"," Own-child","White"," Male","United-States"
"6270","0",76,"None","None",8," Self-Employed"," HS-Graduate","Widowed"," Sales"," Not-in-family","White"," Male","United-States"
"6272","0",29,"None","None",40," Private"," Bachelors","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"6273","0",32,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","South-America-Emerging"
"6274","0",22,"None","None",40," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6275","0",30,"None","None",50," Federal-gov"," HS-Graduate","Never-Married"," Administration"," Not-in-family","Black"," Female","United-States"
"6276","0",43,"None","None",40," Other-gov"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6277","0",23,"None","None",20," Private"," Bachelors","Married"," Service"," Husband","White"," Male","United-States"
"6278","0",41,"None","None",40," Private"," Bachelors","Not-Married"," Service"," Not-in-family","White"," Male","United-States"
"6279","0",23,"None","None",35," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6280","0",39,"None","None",40," Private"," HS-Graduate","Widowed"," Administration"," Own-child","White"," Female","United-States"
"6281","0",19,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Female","Western-Emerging"
"6282","0",23,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6283","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6284","0",40,"None","None",40," Private"," HS-Graduate","Not-Married"," Sales"," Not-in-family","White"," Female","United-States"
"6285","0",49,"None","None",60," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","Black"," Male","United-States"
"6286","0",24,"None","None",40," Private"," Bachelors","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"6287","0",62,"None","Low",38," Other-gov"," Bachelors","Married"," Administration"," Wife","White"," Female","United-States"
"6288","0",45,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Unmarried","White"," Female","United-States"
"6289","0",62,"None","None",40," Self-Employed"," HS-Graduate","Married"," Sales"," Husband","White"," Male","United-States"
"6290","0",48,"None","None",40," Private"," Dropout","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","South-America-Emerging"
"6291","0",56,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","Black"," Female","South-America-Emerging"
"6292","0",28,"None","None",35," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","White"," Female","United-States"
"6293","0",23,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","Black"," Male","United-States"
"6294","0",43,"None","None",35," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Female","United-States"
"6295","0",55,"None","None",60," Other-gov"," Doctorate","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6296","0",48,"None","None",50," Other-gov"," Bachelors","Never-Married"," Management"," Not-in-family","White"," Female","United-States"
"6298","0",18,"None","None",30," Private"," HS-Graduate","Never-Married"," Sales"," Not-in-family","White"," Male","United-States"
"6299","0",56,"None","None",70," Self-Employed"," HS-Graduate","Not-Married"," Management"," Not-in-family","White"," Male","United-States"
"6300","0",39,"None","None",40," Self-Employed"," Masters","Never-Married"," High-Service"," Not-in-family","White"," Male","United-States"
"6301","0",46,"None","None",50," Private"," Dropout","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","South-America-Emerging"
"6302","0",36,"None","None",65," Private"," Dropout","Never-Married"," Blue-Collar"," Unmarried","Amer-Indian"," Male","United-States"
"6303","0",42,"None","High",40," Self-Employed"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6304","0",17,"None","None",20," Private"," Dropout","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6305","0",57,"None","None",40," Private"," Dropout","Widowed"," Blue-Collar"," Unmarried","Black"," Female","United-States"
"6306","0",73,"None","None",12," Private"," HS-Graduate","Widowed"," Service"," Other-relative","White"," Female","United-States"
"6307","0",50,"None","None",40," Federal-gov"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"6308","0",35,"None","None",45," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6309","0",27,"None","None",45," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6311","0",27,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6312","0",23,"None","None",40," Self-Employed"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6313","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"6314","0",26,"None","None",40," Private"," Dropout","Married"," Administration"," Wife","White"," Female","United-States"
"6315","0",47,"None","None",45," Private"," HS-Graduate","Married"," Administration"," Husband","White"," Male","South-America-Emerging"
"6316","0",40,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","Black"," Male","United-States"
"6317","0",58,"None","None",40," Private"," Dropout","Not-Married"," Service"," Unmarried","White"," Female","United-States"
"6318","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"6319","0",29,"None","None",18," Private"," HS-Graduate","Married"," Sales"," Wife","White"," Female","United-States"
"6320","0",36,"None","None",43," Private"," Dropout","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6321","0",46,"None","None",60," Private"," HS-Graduate","Not-Married"," Management"," Not-in-family","White"," Female","United-States"
"6322","0",69,"None","None",4," Private"," Dropout","Widowed"," Service"," Not-in-family","Black"," Female","United-States"
"6323","0",69,"Low","None",40," Private"," HS-Graduate","Widowed"," Administration"," Not-in-family","White"," Female","United-States"
"6324","0",28,"None","None",40," Private"," HS-Graduate","Never-Married"," Service"," Own-child","Black"," Female","United-States"
"6325","0",20,"None","None",48," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Male","United-States"
"6326","0",54,"Low","None",35," Other-gov"," HS-Graduate","Not-Married"," Administration"," Unmarried","Black"," Female","United-States"
"6327","0",25,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6328","0",64,"Low","None",40," Other-gov"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6329","0",17,"None","None",20," Private"," HS-Graduate","Never-Married"," Sales"," Own-child","White"," Female","United-States"
"6330","0",53,"None","None",40," Federal-gov"," HS-Graduate","Married"," Administration"," Husband","White"," Male","United-States"
"6331","0",50,"None","None",50," Private"," Dropout","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6332","0",57,"None","None",38," Private"," HS-Graduate","Married"," Management"," Wife","White"," Female","United-States"
"6333","0",51,"None","High",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6335","0",47,"None","None",40," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6336","0",25,"None","None",52," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Unmarried","White"," Male","United-States"
"6337","0",20,"None","None",30," Private"," HS-Graduate","Never-Married"," Administration"," Own-child","White"," Female","United-States"
"6338","0",46,"None","None",40," Private"," Bachelors","Never-Married"," High-Service"," Not-in-family","White"," Female","United-States"
"6339","0",54,"None","None",38," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","Western-Emerging"
"6340","0",53,"None","None",15," Private"," HS-Graduate","Not-Married"," Management"," Unmarried","Amer-Indian"," Female","United-States"
"6341","0",21,"None","None",30," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Male","United-States"
"6342","0",58,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Not-in-family","White"," Male","United-States"
"6343","0",61,"None","None",40," Private"," HS-Graduate","Married"," Administration"," Wife","Black"," Female","United-States"
"6344","0",56,"None","None",35," Other-gov"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6345","0",59,"None","None",40," Private"," HS-Graduate","Not-Married"," Service"," Unmarried","White"," Female","United-States"
"6346","0",72,"None","None",20," Private"," HS-Graduate","Married"," Blue-Collar"," Husband","White"," Male","United-States"
"6347","0",33,"None","None",40," Private"," HS-Graduate","Never-Married"," Administration"," Not-in-family","White"," Male","United-States"
"6348","0",48,"None","None",28," Private"," HS-Graduate","Never-Married"," High-Service"," Unmarried","Black"," Female","United-States"
"6349","0",33,"None","None",40," Private"," HS-Graduate","Married"," Management"," Husband","White"," Male","United-States"
"6350","0",21,"None","None",40," Private"," HS-Graduate","Never-Married"," Blue-Collar"," Own-child","White"," Female","United-States"
"6351","0",27,"None","None",45," Private"," HS-Graduate","Not-Married"," Administration"," Unmarried","White"," Female","United-States"
"6352","0",31,"None","None",40," Private"," HS-Graduate","Not-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6353","0",28,"None","None",40," Private"," Bachelors","Never-Married"," Blue-Collar"," Not-in-family","White"," Male","United-States"
"6354","0",45,"None","None",38," Other-gov"," HS-Graduate","Not-Married"," Administration"," Not-in-family","White"," Female","United-States"
"6355","0",46,"None","None",40," Other-gov"," HS-Graduate","Never-Married"," Service"," Not-in-family","Black"," Female","United-States"
"6356","0",25,"None","None",25," Private"," HS-Graduate","Married"," Sales"," Husband","White"," Male","South-America-Emerging"
